direction,method,scenario,seeds,coverage_mean,coverage_std,dock_fast_mean,dock_fast_std,selective_failure_mean,risk_gt_0_5_mean,qed_mean
DiffSBDD_to_Pocket2Mol,bayesian_fusion,full,5,0.909433962264151,0.03866773873947019,1.0,0.0,0.0,0.049554569653948534,0.520725118541471
DiffSBDD_to_Pocket2Mol,xgboost_early,full,5,0.8943396226415095,0.03912536104401456,1.0,0.0,0.0,0.00862708719851577,0.4919684602103084
DiffSBDD_to_Pocket2Mol,hgb_early,full,5,0.8905660377358491,0.05722924863435131,1.0,0.0,0.0,0.06863449876074461,0.4936221250790922
DiffSBDD_to_Pocket2Mol,lightgbm_early,full,5,0.8716981132075471,0.09377187652671078,1.0,0.0,0.0,0.04137868480725624,0.4923434939395839
DiffSBDD_to_Pocket2Mol,logistic_stacking,full,5,0.8377358490566038,0.11903253053273588,1.0,0.0,0.0,0.0,0.5301304242278959
DiffSBDD_to_Pocket2Mol,RC-risk,full,5,0.6981132075471698,0.10420151903006852,1.0,0.0,0.0,0.0,0.47400101705446146
DiffSBDD_to_Pocket2Mol,xgboost_early,missing_chemistry,5,0.8905660377358491,0.05235636575664756,1.0,0.0,0.0,0.05852198455139631,0.47369591988915805
DiffSBDD_to_Pocket2Mol,lightgbm_early,missing_chemistry,5,0.8867924528301888,0.06670818690439126,1.0,0.0,0.0,0.13440709617180208,0.47369591988915793
DiffSBDD_to_Pocket2Mol,hgb_early,missing_chemistry,5,0.8603773584905661,0.04920152758643507,1.0,0.0,0.0,0.19568040654997176,0.47369591988915793
DiffSBDD_to_Pocket2Mol,logistic_stacking,missing_chemistry,5,0.8339622641509434,0.12472825570595031,1.0,0.0,0.0,0.0,0.47369591988915793
DiffSBDD_to_Pocket2Mol,bayesian_fusion,missing_chemistry,5,0.8150943396226416,0.18409525913434668,1.0,0.0,0.0,0.01616326530612245,0.47369591988915793
DiffSBDD_to_Pocket2Mol,RC-risk,missing_chemistry,5,0.6981132075471698,0.10420151903006852,1.0,0.0,0.0,0.0,0.47369591988915793
DiffSBDD_to_Pocket2Mol,lightgbm_early,missing_geometry,5,0.9358490566037736,0.05597130933657104,1.0,0.0,0.0,0.03894067815805567,0.48022934150699753
DiffSBDD_to_Pocket2Mol,xgboost_early,missing_geometry,5,0.9207547169811321,0.03375196947169493,1.0,0.0,0.0,0.011924769907963184,0.49285567933628743
DiffSBDD_to_Pocket2Mol,bayesian_fusion,missing_geometry,5,0.909433962264151,0.00843799236792374,1.0,0.0,0.0,0.0,0.5457611519745031
DiffSBDD_to_Pocket2Mol,logistic_stacking,missing_geometry,5,0.7320754716981133,0.07356071203629409,1.0,0.0,0.0,0.0,0.5339941552222853
DiffSBDD_to_Pocket2Mol,RC-risk,missing_geometry,5,0.6981132075471698,0.10420151903006852,1.0,0.0,0.0,0.0,0.47400101705446146
DiffSBDD_to_Pocket2Mol,hgb_early,missing_geometry,5,0.9245283018867925,0.07184691609305573,0.9715337824467216,0.026709366595055233,0.02846621755327843,0.13297280368926861,0.4771003786094233
DiffSBDD_to_Pocket2Mol,xgboost_early,missing_risk,5,0.939622641509434,0.031003163632367887,1.0,0.0,0.0,0.0,0.4854000424371935
DiffSBDD_to_Pocket2Mol,hgb_early,missing_risk,5,0.9283018867924528,0.06723973464605833,1.0,0.0,0.0,0.0,0.47844159569168115
DiffSBDD_to_Pocket2Mol,lightgbm_early,missing_risk,5,0.9207547169811321,0.04090468563901658,1.0,0.0,0.0,0.0,0.4809628558267919
DiffSBDD_to_Pocket2Mol,bayesian_fusion,missing_risk,5,0.8754716981132076,0.10723224330854962,1.0,0.0,0.0,0.0,0.541928551226281
DiffSBDD_to_Pocket2Mol,logistic_stacking,missing_risk,5,0.31698113207547174,0.3833022466899336,0.8917600527356624,0.1494110536601887,0.1082399472643375,0.0,0.5686167849760656
DiffSBDD_to_Pocket2Mol,RC-risk,missing_risk,5,1.0,0.0,0.7735849056603774,0.0,0.2264150943396226,0.0,0.6029234656139953
DiffSBDD_to_Pocket2Mol,bayesian_fusion,missing_validity,5,0.8037735849056604,0.18175991817044976,0.948549114331723,0.017421840178183885,0.05145088566827698,0.03269565217391304,0.5322691164385652
DiffSBDD_to_Pocket2Mol,hgb_early,missing_validity,5,0.5660377358490566,0.41445061578280745,0.9280128893662727,0.06969999216653479,0.07198711063372717,0.037215896885069814,0.5105979879081766
DiffSBDD_to_Pocket2Mol,RC-risk,missing_validity,5,0.39245283018867927,0.29575133156859923,0.880976430976431,0.1196124688115325,0.11902356902356903,0.0,0.459869595798059
DiffSBDD_to_Pocket2Mol,xgboost_early,missing_validity,5,0.7584905660377359,0.29993472649334785,0.8777648390110396,0.03306516097599173,0.1222351609889604,0.0,0.5042622526768208
DiffSBDD_to_Pocket2Mol,lightgbm_early,missing_validity,5,0.618867924528302,0.2715932711765522,0.8417777777777777,0.07233059295789444,0.15822222222222224,0.027703703703703703,0.5019258601662459
DiffSBDD_to_Pocket2Mol,logistic_stacking,missing_validity,5,0.690566037735849,0.37773566056580227,0.8213976499690785,0.08715508332941026,0.17860235003092148,0.0,0.5266577438470388
Pocket2Mol_to_DiffSBDD,RC-risk,full,5,1.0,0.0,1.0,0.0,0.0,0.0,0.5160224273645744
Pocket2Mol_to_DiffSBDD,hgb_early,full,5,0.9339999999999999,0.060249481325568274,0.9762426377231715,0.00589921603502461,0.023757362276828342,0.29489876518241365,0.5355855486466101
Pocket2Mol_to_DiffSBDD,lightgbm_early,full,5,0.978,0.016431676725155005,0.9735897115484745,0.02103582769881362,0.026410288451525554,0.443472326356347,0.5772568231948283
Pocket2Mol_to_DiffSBDD,xgboost_early,full,5,0.974,0.02073644135332772,0.9714182875965296,0.010609913006337034,0.028581712403470426,0.49386295812163966,0.5527549813290923
Pocket2Mol_to_DiffSBDD,bayesian_fusion,full,5,0.9359999999999999,0.08018728078691784,0.949469387755102,0.06933635551247107,0.050530612244897966,0.02633390705679862,0.47556512578305077
Pocket2Mol_to_DiffSBDD,logistic_stacking,full,5,0.978,0.026832815729997482,0.9016465183752418,0.027435266382934996,0.09835348162475818,0.0,0.42730252682686637
Pocket2Mol_to_DiffSBDD,RC-risk,missing_chemistry,5,1.0,0.0,1.0,0.0,0.0,0.0,0.4695882629267046
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_chemistry,5,0.976,0.026076809620810618,0.9979166666666668,0.00465847495312452,0.002083333333333326,0.0,0.4695882629267046
Pocket2Mol_to_DiffSBDD,hgb_early,missing_chemistry,5,0.984,0.01341640786499875,0.9796730188482765,0.0159392237369574,0.020326981151723423,0.33718733729043004,0.4695882629267046
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_chemistry,5,0.99,0.012247448713915926,0.9657967301884828,0.015064221002335988,0.034203269811517244,0.4697407060293658,0.4695882629267046
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_chemistry,5,0.986,0.016733200530681534,0.9574019789734075,0.008433709576657376,0.04259802102659245,0.6315861678004535,0.4695882629267046
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_chemistry,5,0.994,0.008944271909999156,0.9476742939600082,0.011079565298599199,0.05232570603999178,0.0,0.4695882629267046
Pocket2Mol_to_DiffSBDD,RC-risk,missing_geometry,5,1.0,0.0,1.0,0.0,0.0,0.0,0.5160224273645744
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_geometry,5,0.99,0.014142135623730944,0.9089126867241741,0.029245171746662038,0.0910873132758258,0.0,0.4289120858136508
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_geometry,5,0.86,0.2354782367863323,0.9047079521463758,0.05213183708643501,0.09529204785362419,0.38824693095629054,0.5525527057817341
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_geometry,5,0.966,0.04979959839195494,0.8777528089887641,0.16613576386147003,0.12224719101123596,0.07923595505617978,0.45999358309606364
Pocket2Mol_to_DiffSBDD,hgb_early,missing_geometry,5,0.93,0.09246621004453463,0.862708787218591,0.22011570021845972,0.13729121278140885,0.30532712748399027,0.5334675341101811
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_geometry,5,0.686,0.31722231951740093,0.8265382939500586,0.12212932961610116,0.17346170604994132,0.5921930618401207,0.4651828729454383
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_risk,5,0.97,0.02738612787525828,0.9794514760172393,0.006946680276779883,0.020548523982760768,1.0,0.5392886016149776
Pocket2Mol_to_DiffSBDD,hgb_early,missing_risk,5,0.916,0.06985699678629194,0.9781584316067076,0.013648317817245147,0.021841568393292522,1.0,0.5235790524545563
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_risk,5,0.952,0.04266145801540303,0.9751504267819533,0.018876113227382314,0.02484957321804677,1.0,0.5606487620277223
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_risk,5,0.93,0.04999999999999999,0.894282669589575,0.13726215592649862,0.10571733041042504,1.0,0.4320123144991812
Pocket2Mol_to_DiffSBDD,RC-risk,missing_risk,5,1.0,0.0,0.77,0.0,0.22999999999999998,1.0,0.8689729808415233
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_risk,5,0.844,0.162726764854464,0.6549842499204396,0.08581987102321557,0.3450157500795604,1.0,0.3894689612670379
Pocket2Mol_to_DiffSBDD,RC-risk,missing_validity,5,1.0,0.0,0.7,0.0,0.30000000000000004,0.0,0.4966856593921798
Pocket2Mol_to_DiffSBDD,hgb_early,missing_validity,5,0.736,0.3339610755761815,0.6977189308818522,0.07239871786794584,0.3022810691181478,0.34445386448757237,0.5252323208548865
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_validity,5,0.942,0.07085195833567341,0.6943989438598214,0.23527319626835147,0.30560105614017863,0.04480968201233983,0.4775815576682267
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_validity,5,0.914,0.1101362792180669,0.6939565594745118,0.039421655828933456,0.3060434405254882,0.541778335812463,0.5406535128917135
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_validity,5,0.9099999999999999,0.08831760866327848,0.6497575278530563,0.08189098665737671,0.35024247214694365,0.4455802469135802,0.5693069706537136
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_validity,5,0.9560000000000001,0.03847076812334268,0.5625437352245862,0.06711349012499017,0.4374562647754138,0.002040816326530612,0.3785832174580756
