block,role,metric,baseline,method,targets,baseline_mean,method_mean,delta_method_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,cliffs_delta,desired_direction,improves,fdr_q
pocketflow_crossdock100,positive direct SOTA-output comparator,dock_fast,pb_qed,pb_rc_select,100,0.8425,0.955,0.1125,0.08,0.1475,2.6692384657846876e-08,0.3736,higher,True,1.6015430794708124e-07
pocketflow_crossdock100,positive direct SOTA-output comparator,protein_pass,pb_qed,pb_rc_select,100,0.8425,0.955,0.1125,0.08,0.1475,2.6692384657846876e-08,0.3736,higher,True,1.6015430794708124e-07
pocketflow_crossdock100,positive direct SOTA-output comparator,mol_fast,pb_qed,pb_rc_select,100,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
pocketflow_crossdock100,positive direct SOTA-output comparator,risk_prob,pb_qed,pb_rc_select,100,0.5966967125447065,0.290975970124796,-0.3057207424199106,-0.33930263916244,-0.2715042919751627,1.781293897222056e-17,-0.688,lower,True,2.7574464073968763e-16
pocketflow_crossdock100,positive direct SOTA-output comparator,risk_gt_0_5,pb_qed,pb_rc_select,100,0.6,0.2075,-0.3925,-0.44,-0.345,2.5966200037201393e-16,-0.67,lower,True,2.596620003720139e-15
pocketflow_crossdock100,positive direct SOTA-output comparator,qed,pb_qed,pb_rc_select,100,0.7061259111189334,0.5879819287376854,-0.1181439823812481,-0.134810744299578,-0.1018966387568519,1.838297604931251e-17,-0.673,higher,False,2.7574464073968763e-16
bindingmoad_v100_holdout,external de novo holdout,dock_fast,pb_qed,pb_rc_select,100,0.2625,0.36,0.0975,0.0575,0.14,2.624231256866572e-05,0.1488,higher,True,8.747437522888572e-05
bindingmoad_v100_holdout,external de novo holdout,protein_pass,pb_qed,pb_rc_select,100,0.2625,0.36,0.0975,0.06,0.14,2.624231256866572e-05,0.1488,higher,True,8.747437522888572e-05
bindingmoad_v100_holdout,external de novo holdout,mol_fast,pb_qed,pb_rc_select,100,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
bindingmoad_v100_holdout,external de novo holdout,risk_prob,pb_qed,pb_rc_select,100,0.982645845611954,0.9070261493008016,-0.0756196963111523,-0.1089215177119186,-0.0451169235267053,5.606116527496013e-06,-0.1221,lower,True,2.402621368926863e-05
bindingmoad_v100_holdout,external de novo holdout,risk_gt_0_5,pb_qed,pb_rc_select,100,0.99,0.9075,-0.0825,-0.1225,-0.045,8.633817112518657e-05,-0.1632,lower,True,0.0002590145133755
bindingmoad_v100_holdout,external de novo holdout,qed,pb_qed,pb_rc_select,100,0.6786765690306211,0.6600445903980685,-0.0186319786325526,-0.0277596040107323,-0.0108505726409834,5.606116527496013e-06,-0.1375,higher,False,2.402621368926863e-05
bindingmoad_task1_strict33,strict Task1 supplement with 33 automatically matchable pockets,dock_fast,pb_qed,pb_rc_select,33,0.2272727272727272,0.2727272727272727,0.0454545454545454,0.0075757575757575,0.0909090909090909,0.0338948535246892,0.0587695133149678,higher,True,0.072631828981477
bindingmoad_task1_strict33,strict Task1 supplement with 33 automatically matchable pockets,protein_pass,pb_qed,pb_rc_select,33,0.2272727272727272,0.2727272727272727,0.0454545454545454,0.0075757575757575,0.0909090909090909,0.0338948535246892,0.0587695133149678,higher,True,0.072631828981477
bindingmoad_task1_strict33,strict Task1 supplement with 33 automatically matchable pockets,mol_fast,pb_qed,pb_rc_select,33,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
bindingmoad_task1_strict33,strict Task1 supplement with 33 automatically matchable pockets,risk_prob,pb_qed,pb_rc_select,33,0.9834720400511098,0.9404709759943704,-0.0430010640567392,-0.0866586536332856,-0.0099247200083736,0.0117186855997686,-0.0697887970615243,lower,True,0.0292967139994215
bindingmoad_task1_strict33,strict Task1 supplement with 33 automatically matchable pockets,risk_gt_0_5,pb_qed,pb_rc_select,33,0.9848484848484848,0.946969696969697,-0.0378787878787878,-0.0757575757575757,-0.0075757575757575,0.0587817213553588,-0.0661157024793388,lower,True,0.1175634427107177
bindingmoad_task1_strict33,strict Task1 supplement with 33 automatically matchable pockets,qed,pb_qed,pb_rc_select,33,0.6673854026809241,0.6558296265322716,-0.0115557761486525,-0.0224765196994867,-0.0030908327655616,0.0117186855997686,-0.1267217630853994,higher,False,0.0292967139994215
molpilot_crossdock_t50,negative recent-SOTA generator-shift stress case,dock_fast,pb_qed,pb_rc_select,50,0.025,0.025,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
molpilot_crossdock_t50,negative recent-SOTA generator-shift stress case,protein_pass,pb_qed,pb_rc_select,50,0.025,0.025,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
molpilot_crossdock_t50,negative recent-SOTA generator-shift stress case,mol_fast,pb_qed,pb_rc_select,50,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
molpilot_crossdock_t50,negative recent-SOTA generator-shift stress case,risk_prob,pb_qed,pb_rc_select,50,0.9999999999836529,0.9999999999836529,0.0,0.0,0.0,1.0,0.0,lower,False,1.0
molpilot_crossdock_t50,negative recent-SOTA generator-shift stress case,risk_gt_0_5,pb_qed,pb_rc_select,50,1.0,1.0,0.0,0.0,0.0,1.0,0.0,lower,False,1.0
molpilot_crossdock_t50,negative recent-SOTA generator-shift stress case,qed,pb_qed,pb_rc_select,50,0.6540160996986877,0.6540160996986877,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
sgediff_crossdock_t50,negative recent-SOTA generator-shift stress case,dock_fast,qed,rc_select,41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
sgediff_crossdock_t50,negative recent-SOTA generator-shift stress case,protein_pass,qed,rc_select,41,0.0426829268292682,0.0426829268292682,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
sgediff_crossdock_t50,negative recent-SOTA generator-shift stress case,mol_fast,qed,rc_select,41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
sgediff_crossdock_t50,negative recent-SOTA generator-shift stress case,risk_prob,qed,rc_select,41,0.997732591901532,0.997732591901532,0.0,0.0,0.0,1.0,0.0,lower,False,1.0
sgediff_crossdock_t50,negative recent-SOTA generator-shift stress case,risk_gt_0_5,qed,rc_select,41,1.0,1.0,0.0,0.0,0.0,1.0,0.0,lower,False,1.0
sgediff_crossdock_t50,negative recent-SOTA generator-shift stress case,qed,qed,rc_select,41,0.2754607866565716,0.2754607866565716,0.0,0.0,0.0,1.0,0.0,higher,False,1.0
